API,Version,Links,Label,symptoms of bugs,causes of bugs,bug numbers,total bugs,total enhancement,total documentation,total good first issue,won't fix,,,,,,,,,
mlx.core.random.randint,v0.0.7,https://github.com/ml-explore/mlx/issues/429,bug,Inconsistencies(src libs/tar libs),Logic Deficiency,1,35,13,8,5,3,,,,,,,,,
sin/arcsin/arccos calls,v0.0.7,https://github.com/ml-explore/mlx/issues/450,bug,Inconsistencies(CPU/GPU),Different Backend Implementations,1,,,,,,,,,,,,,,
mlx.core.eye,v0.0.7,https://github.com/ml-explore/mlx/issues/460,bug,Crash,Missing Parameter Checking,1,,,,,,,,,,,,,,
mlx.core.arccos,v0.0.7,https://github.com/ml-explore/mlx/issues/471,enhancement,,,1,,,,,,,,,,,,,,
mlx.core.clip,v0.0.7,https://github.com/ml-explore/mlx/issues/468,bug,Inconsistencies(src libs/tar libs),Nans and Infs,1,,,,,,,,,,,,,,
mlx.core.reshape,v0.0.7,https://github.com/ml-explore/mlx/issues/488,enhancement,,,1,,,,,,,,,,,,,,
mlx.core.grad,v0.0.7,https://github.com/ml-explore/mlx/issues/487,enhancement,,,1,,,,,,,,,,,,,,
mlx.core.isposinf/isneginf/isinf,v0.0.10,https://github.com/ml-explore/mlx/issues/493,bug,Inconsistencies(src libs/tar libs),Edge Cases,3,,,,,,,,,,,,,,
mlx.core.isposinf,v0.0.10,https://github.com/ml-explore/mlx/issues/496,bug,Crash,Edge Cases,1,,,,,,,,,,,,,,
mlx.core.matmul/tensordot,v0.0.10,https://github.com/ml-explore/mlx/issues/516,"enhancement,documentation",,,2,,,,,,,,,,,,,,
mlx.core.astype,v0.0.10,https://github.com/ml-explore/mlx/issues/528,bug,Inconsistencies(src libs/tar libs),Nans and Infs,1,,,,,,,,,,,,,,
mlx.core.arange,v0.0.10,https://github.com/ml-explore/mlx/issues/529,"bug,good first issue",Inconsistencies(src libs/tar libs),Nans and Infs,2,,,,,,,,,,,,,,
mlx.core.arange,v0.0.10,https://github.com/ml-explore/mlx/issues/530,"bug,good first issue",Inconsistencies(src libs/tar libs),Nans and Infs,1,,,,,,,,,,,,,,
mlx.core.argmax/argmin/argpartition/argsort,v0.0.10,https://github.com/ml-explore/mlx/issues/534,documentation,,,4,,,,,,,,,,,,,,
mlx.core.concatenate,v0.0.10,https://github.com/ml-explore/mlx/issues/540,bug,Inconsistencies(src libs/tar libs),Missing Parameter Checking,1,,,,,,,,,,,,,,
mlx.core.concatenate,v0.0.10,https://github.com/ml-explore/mlx/issues/542,enhancement,,,1,,,,,,,,,,,,,,
mlx.core.convolve,v0.0.10,https://github.com/ml-explore/mlx/issues/547,enhancement,,,1,,,,,,,,,,,,,,
mlx.core.conv1d,v0.0.10,https://github.com/ml-explore/mlx/issues/548,bug,Crash,Missing Parameter Checking,1,,,,,,,,,,,,,,
mlx.core.conv2d,v0.0.10,https://github.com/ml-explore/mlx/issues/548,bug,Inconsistencies(src libs/tar libs),Missing Parameter Checking,1,,,,,,,,,,,,,,
mlx.core.dequantize,v0.0.10,https://github.com/ml-explore/mlx/issues/550,bug,Crash,Missing Parameter Checking,1,,,,,,,,,,,,,,
mlx.core.erf,v0.0.10,https://github.com/ml-explore/mlx/issues/556,documentation,,,1,,,,,,,,,,,,,,
mlx.core.flatten,v0.0.10,https://github.com/ml-explore/mlx/issues/557,documentation,,,1,,,,,,,,,,,,,,
mlx.core.full,v0.0.10,https://github.com/ml-explore/mlx/issues/570,bug,Inconsistencies(src libs/tar libs),Missing Parameter Checking,1,,,,,,,,,,,,,,
mlx.core.inner,v0.0.10,https://github.com/ml-explore/mlx/issues/572,bug,Crash,Different Backend Implementations,1,,,,,,,,,,,,,,
mlx.core.linspace,v0.0.10,https://github.com/ml-explore/mlx/issues/573,bug,Inconsistencies(src libs/tar libs),Different Backend Implementations,1,,,,,,,,,,,,,,
mlx.core.log1p,v0.0.10,https://github.com/ml-explore/mlx/issues/574,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,,
mlx.core.logaddexp,v0.0.10,https://github.com/ml-explore/mlx/issues/575,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,,
mlx.core.logsumexp,v0.0.10,https://github.com/ml-explore/mlx/issues/576,bug,Inconsistencies(src libs/tar libs),Nans and Infs,1,,,,,,,,,,,,,,
mlx.core.max/min/maximum/minimum/sort,v0.0.10,https://github.com/ml-explore/mlx/issues/577,bug,Inconsistencies(CPU/GPU),Nans and Infs,5,,,,,,,,,,,,,,
mlx.core.mean,v0.0.10,https://github.com/ml-explore/mlx/issues/578,enhancement,,,1,,,,,,,,,,,,,,
mlx.core.partition,v0.0.10,https://github.com/ml-explore/mlx/issues/586,enhancement,,,1,,,,,,,,,,,,,,
mlx.core.repeat,v0.0.10,https://github.com/ml-explore/mlx/issues/587,"bug,good first issue",Inconsistencies(src libs/tar libs),Logic Deficiency,1,,,,,,,,,,,,,,
mlx.core.split,v0.0.10,https://github.com/ml-explore/mlx/issues/593,"enhancement,good first issue",,,1,,,,,,,,,,,,,,
mlx.core.tensordot,v0.0.10,https://github.com/ml-explore/mlx/issues/596,bug,Crash,Different Backend Implementations,1,,,,,,,,,,,,,,
mlx.core.var,v0.0.10,https://github.com/ml-explore/mlx/issues/597,"bug,enhancement",Inconsistencies(src libs/tar libs),Logic Deficiency,1,,,,,,,,,,,,,,
mlx.core.where,v0.0.10,https://github.com/ml-explore/mlx/issues/598,"bug,enhancement",Inconsistencies(src libs/tar libs),Nans and Infs,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
mlx.core.argmax/argmin,v0.0.10,https://github.com/ml-explore/mlx/issues/535,won't fix,Inconsistencies(src libs/tar libs),Nans and Infs,2,,,,,,,,,,,,,,
mlx.core.take,v0.0.10,https://github.com/ml-explore/mlx/issues/594,won't fix,Inconsistencies(src libs/tar libs),Missing Parameter Checking,1,,,,,,,,,,,,,,
