API,Version,Links,Label,symptoms of bugs,causes of bugs,bug numbers,total bugs,total documentation,CVE,,,,,,,,,,
oneflow.full,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10446,bug,Crash,Missing Parameter Checking,1,85,4,CVE-2024-36737,,,,,,,,,,
oneflow.max/min/Tensor.max/Tensor.min,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10448,bug,Inconsistencies(src libs/tar libs),Nans and Infs,4,,,,,,,,,,,,,
oneflow.tensordot,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10449,bug,Crash,Missing Parameter Checking,1,,,CVE-2024-36732,,,,,,,,,,
oneflow.var/Tensor.var,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10450,bug,Crash,Missing Parameter Checking,2,,,CVE-2024-36734,,,,,,,,,,
oneflow.permute/Tensor.permute,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10451,bug,Inconsistencies(src libs/tar libs),Missing Parameter Checking,2,,,CVE-2024-36736,,,,,,,,,,
oneflow.zeros/ones/new_ones/empty/full/Tensor.new_ones,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10453,bug,Crash,Missing Parameter Checking,6,,,CVE-2024-36730,,,,,,,,,,
oneflow.arange,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10454,bug,Inconsistencies(src libs/tar libs),Nans and Infs,1,,,,,,,,,,,,,
oneflow.arange,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10455,bug,Crash,Nans and Infs,2,,,,,,,,,,,,,
oneflow.linspace/logspace,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10456,bug,Crash,Nans and Infs,4,,,,,,,,,,,,,
oneflow.eye,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10457,bug,Inconsistencies(src libs/tar libs),Missing Parameter Checking,1,,,CVE-2024-36735,,,,,,,,,,
oneflow.index_select,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10458,documentation,,,1,,,,,,,,,,,,,
oneflow.index_select,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10459,documentation,,,1,,,,,,,,,,,,,
oneflow.index_select/Tensor.index_select,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10460,bug,Crash,Missing Parameter Checking,2,,,CVE-2024-36745,,,,,,,,,,
oneflow.select,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10461,"bug,documentation",Crash,Logic Deficiency,1,,,,,,,,,,,,,
oneflow.scatter/scatter_add/Tensor.scatter/Tensor.scatter_add,v0.9.1,https://github.com/Oneflow-Inc/oneflow/issues/10463,bug,Crash,Missing Parameter Checking,8,,,CVE-2024-36740,,,,,,,,,,
