API,Version,Links,Label,symptoms of bugs,causes of bugs,bug numbers,total bugs,,,,,,,,,,,,
tf.signal.mdct,v2.19.0,https://github.com/tensorflow/tensorflow/issues/93613,bug,Inconsistencies(CPU/GPU),Different Backend Implementations,1,12,,,,,,,,,,,,
tf.signal.dct,v2.19.0,https://github.com/tensorflow/tensorflow/issues/93613,bug,Inconsistencies(CPU/GPU),Different Backend Implementations,1,,,,,,,,,,,,,
tf.signal.idct,v2.19.0,https://github.com/tensorflow/tensorflow/issues/93613,bug,Inconsistencies(CPU/GPU),Different Backend Implementations,1,,,,,,,,,,,,,
tf.sparse.segment_sum,v2.19.0,https://github.com/tensorflow/tensorflow/issues/93136,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
tf.sparse.segment_sum(variant),v2.19.0,https://github.com/tensorflow/tensorflow/issues/93159,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
tf.sparse.cross,v2.19.0,https://github.com/tensorflow/tensorflow/issues/93162,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
tf.sparse.cross_hashed,v2.19.0,https://github.com/tensorflow/tensorflow/issues/93162,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
tf.sparse.cross_hashed(variant),v2.19.0,https://github.com/tensorflow/tensorflow/issues/93162,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
tf.sparse.segment_mean,v2.19.0,https://github.com/tensorflow/tensorflow/issues/93136,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
tf.sparse.segment_mean(variant),v2.19.0,https://github.com/tensorflow/tensorflow/issues/93159,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
tf.sparse.segment_sqrt_n,v2.19.0,https://github.com/tensorflow/tensorflow/issues/93136,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
tf.sparse.segment_sqrt_n(variant),v2.19.0,https://github.com/tensorflow/tensorflow/issues/93159,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
